region,basin,river,name,ID,long,lat,country,code
CA,Selenga,Selenga,Mostovoy,RU_0000043,107.48,52.03,RU,1CA01
CA,Selenga,Khilok,Khailastuy,RU_0000401,106.97,51.2,RU,1CA02
CA,Selenga,Chikoy,Gremyachka,RU_0000400,108.63,50.3,RU,1CA03
CA,Selenga,Yeruu,Yeruu,MN_0000002,106.65,49.74,MN,1CA04
CA,Upper Angara,Verkhnyaya Angara,Verkhnyaya Zaimka,RU_0000397,110.15,55.85,RU,1CA05
CA,Upper Angara,Barguzin,Barguzin,RU_0000398,109.6,53.6,RU,1CA06
CA,Yenisei,Biryusa,Biryusinsk,RU_0000408,97.78,55.97,RU,1CA07
CA,Yenisei,Tuba,Bugurtak,RU_0000411,92.87,53.8,RU,1CA08
CA,Yenisei,Yenisei,Kyzyl,RU_0000054,94.4,51.72,RU,1CA09
CA,Irtysh,Irtysh,Buran,KZ_0000002,85.22,48,KZ,1CA10
EA,Amur,Amur,Khabarovsk,RU_0000036,135.05,48.43,RU,2EA01
EA,Teshio,Teshio,Teshio Ohashi,JP_0000018,141.8144,44.9944,JP,2EA02
EA,Teshio,Teshio,Homaretaira,JP_0000009,142.0706,44.8089,JP,2EA03
EA,Teshio,Teshio,Nayoro Ohashi,JP_0000005,142.4433,44.3608,JP,2EA04
EA,Toshibetsugawa,Toshibetsugawa,Toshibetsugawa,JP_0000167,143.4433,42.9311,JP,2EA05
EA,Mogami,Mogami,Inakudashi,JP_0000367,140.35,38.4814,JP,2EA06
EA,Mogami,Mogami,Shimono,JP_0000368,140.3264,38.4211,JP,2EA07
EA,Mogami,Mogami,Nakago,JP_0000370,140.2394,38.3694,JP,2EA08
EA,Mogami,Mogami,Miya-Juku,JP_0000372,140.1358,38.3036,JP,2EA09
EA,Han,Hwachon,Hwachon,KR_0000005,127.7763,38.11625,KR,2EA10
EA,Edogawa,Edogawa,Noda,JP_0000446,139.8497,35.9383,JP,2EA11
EA,Yuragawa,Yuragawa,Fukuchiyama,JP_0000759,135.1244,35.3044,JP,2EA12
EA,Ono,Ono,Shirataki Bridge,JP_0001023,131.6489,33.1617,JP,2EA13
EA,Oyodo,Oyodo,Takaoka,JP_0001014,131.3011,31.9547,JP,2EA14
EA,Oyodo,Oyodo,Kashiwada,JP_0001015,131.3986,31.9547,JP,2EA15
EA,Oyodo,Oyodo,Hiwatashi,JP_0001013,131.1131,31.8597,JP,2EA16
EA,Sendaigawa,Sendaigawa,Onofuchi,JP_0000996,130.3358,31.8625,JP,2EA17
WA,Syr Darya,Naryn,Uch-Kurgan,KG_0000005,72.1,41.17,KG,4WA01
WA,Amu Darya,Vakhsh,Garm,TJ_0000003,70.33,39,TJ,4WA02
WA,Indus,Indus,Kachora,PK_0000001,75.25,35.27,PK,4WA03
SEA,Chao Phraya,Nan,N.1,TH_0000003,100.7808,18.7731,TH,5SEA13
SEA,Chao Phraya,Ping,P.1,TH_0000041,99.00443,18.78766,TH,5SEA14
SEA,Chao Phraya,Chao Phraya,C.2,TH_0000178,100.1125,15.6708,TH,5SEA15
SEA,Angat,Angat,Angat,PH_0000006,121.2,15,PH,5SEA16
SEA,Citarum,Citarum,Citarum,ID_0000024,107.29,-6.29,ID,5SEA17
SA,Brahmaputra,Brahmaputra,Bahadurabad,BD_0000001,89.67,25.18,BD,6SA01
SA,Godavari,Godavari,Mancherial,IN_0000062,79.4447,18.8358,IN,6SA02
SA,Godavari,Godavari,Konta,IN_0000099,81.3928,17.7989,IN,6SA03
SA,Godavari,Godavari,Jagdalpur,IN_0000074,82.0228,19.1081,IN,6SA04
SA,Godavari,Godavari,Nowrangpur,IN_0000075,82.5119,19.1975,IN,6SA05
SA,Krishna,Karad,Karad,IN_0000117,74.1903,17.2944,IN,6SA06
SA,Krishna,Krishna,Wadenapalli,IN_0000110,80.1314,16.7889,IN,6SA07
