ID,trans
BD_0000001,log
CN_0000180,log
CN_0000181,log
CN_0000189,none
CN_0000190,log
CN_0000191,none
CN_0000192,none
CN_0000194,none
CN_0000195,log
ID_0000024,log
IN_0000074,none
IN_0000075,none
IN_0000117,log
JP_0000367,log
JP_0000446,log
JP_0000759,log
JP_0000996,log
JP_0001014,log
JP_0001023,log
KG_0000005,log
KH_0000002,none
KH_0000004,log
KR_0000006,log
KZ_0000002,log
LA_0000001,none
LA_0000002,log
LA_0000005,log
LA_0000014,none
MN_0000002,log
PH_0000006,log
PK_0000001,log
RU_0000036,log
RU_0000043,none
RU_0000054,none
RU_0000397,none
RU_0000398,log
RU_0000400,none
RU_0000401,none
RU_0000408,log
RU_0000411,log
TH_0000003,log
TH_0000041,log
TH_0000134,log
TH_0000154,log
TH_0000156,log
TH_0000163,none
TH_0000178,none
TJ_0000003,none
